Model, ProductionYear,NumberofEngines,EngineType,Capacity,Range(km),FuelConsumption(L/h),HourlyMaintenance($),Age,SalesRegion,Price($)
Bombardier CRJ200,1987,2,Turbofan,50,3000,14.36,2185.43,36,Asia,12857083.91
Bombardier CRJ200,1997,2,Turbofan,50,3000,4.03,1202.08,26,Europe,13914058.55
Airbus A320,1988,2,Turbofan,180,6300,13.26,761.38,35,Australia,90735695.86
Boeing 737,2023,2,Turbofan,162,5700,14.61,592.63,0,Australia,136659689.37
Cessna 172,1985,1,Piston,4,1285,18.49,4245.99,38,South America,203798.1
Airbus A350,1982,2,Turbofan,350,14800,8.82,1869.09,41,Asia,354976612.82
Boeing 737,1993,2,Turbofan,162,5700,5.79,2443.75,30,Europe,57032326.56
Cessna 172,2018,1,Piston,4,1285,24.65,1814.65,5,Asia,396750.44
Cessna 172,1992,1,Piston,4,1285,41.41,2552.31,31,Australia,215144.49
Bombardier CRJ200,2014,2,Turbofan,50,3000,2.6,3165.87,9,Africa,16981571.17
Airbus A320,2008,2,Turbofan,180,6300,4.22,3233.95,15,South America,103115871.84
Boeing 777,1980,2,Turbofan,396,15600,7.72,3579.05,43,Europe,385983616.56
Bombardier CRJ200,2007,2,Turbofan,50,3000,8.44,1049.17,16,North America,17772783.25
Boeing 777,1989,2,Turbofan,396,15600,8.76,1902.7,34,Europe,349042400.5
Boeing 777,1986,2,Turbofan,396,15600,4.4,2960.2,37,Asia,426940813.36
Airbus A350,1986,2,Turbofan,350,14800,4.55,898.22,37,North America,378696823.87
Boeing 777,2018,2,Turbofan,396,15600,6.23,703.52,5,North America,609835687.97
Boeing 737,2009,2,Turbofan,162,5700,6.64,4229.32,14,South America,84803923.37
Boeing 737,2004,2,Turbofan,162,5700,9.06,1764.21,19,Asia,81240277.67
Cessna 172,1998,1,Piston,4,1285,49.48,835.48,25,Australia,205472.14
Cessna 172,2003,1,Piston,4,1285,17.95,3975.1,20,South America,282880.8
Airbus A320,1984,2,Turbofan,180,6300,2.96,3970.72,39,Asia,85658440.17
Bombardier CRJ200,1994,2,Turbofan,50,3000,3.51,2113.1,29,North America,12475000.59
Boeing 737,1994,2,Turbofan,162,5700,2.83,1989.04,29,Asia,69650507.55
Airbus A350,1997,2,Turbofan,350,14800,6.23,1899.42,26,Africa,402568177.04
Bombardier CRJ200,2003,2,Turbofan,50,3000,8.14,4492.46,20,Europe,16455191.8
Boeing 777,2002,2,Turbofan,396,15600,11.27,1038.17,21,Europe,477861066.66
Bombardier CRJ200,1997,2,Turbofan,50,3000,8.42,3969.35,26,Australia,13932179.15
Bombardier CRJ200,2021,2,Turbofan,50,3000,7.56,2852.3,2,Asia,23385809.92
Cessna 172,2020,1,Piston,4,1285,30.34,1914.6,3,Europe,389745.75
Cessna 172,1995,1,Piston,4,1285,19.97,4584.05,28,Europe,245284.2
Airbus A350,2004,2,Turbofan,350,14800,3.0,1529.59,19,North America,437745351.34
